Wavelength_01 CsPbBr3_PL Wavelength_02 CsPbBr3_Abs Wavelength_03 CsPbI3_PL Wavelength_04 CsPbI3_Abs
3.48950e+02 9.45222e+00 3.48950e+02 6.93333e-01 3.48950e+02 2.62889e+00 3.48950e+02 1.85000e+00
3.49739e+02 1.02711e+01 3.49739e+02 6.91111e-01 3.49739e+02 2.87667e+00 3.49739e+02 1.83667e+00
3.50528e+02 1.13078e+01 3.50528e+02 6.85556e-01 3.50528e+02 3.20444e+00 3.50528e+02 1.82000e+00
3.51317e+02 1.27967e+01 3.51317e+02 6.83333e-01 3.51317e+02 3.71444e+00 3.51317e+02 1.80111e+00
3.52106e+02 1.50900e+01 3.52106e+02 6.75556e-01 3.52106e+02 4.49222e+00 3.52106e+02 1.79000e+00
3.52895e+02 1.89711e+01 3.52895e+02 6.73333e-01 3.52895e+02 5.96111e+00 3.52895e+02 1.77667e+00
3.53684e+02 2.43200e+01 3.53684e+02 6.68889e-01 3.53684e+02 7.80333e+00 3.53684e+02 1.76667e+00
3.54473e+02 3.17311e+01 3.54473e+02 6.64444e-01 3.54473e+02 1.01411e+01 3.54473e+02 1.75778e+00
3.55262e+02 4.23433e+01 3.55262e+02 6.63333e-01 3.55262e+02 1.38778e+01 3.55262e+02 1.74889e+00
3.56051e+02 5.68811e+01 3.56051e+02 6.57778e-01 3.56051e+02 1.88789e+01 3.56051e+02 1.74000e+00
3.56839e+02 7.64811e+01 3.56839e+02 6.54444e-01 3.56839e+02 2.55633e+01 3.56839e+02 1.74000e+00
3.57628e+02 1.02196e+02 3.57628e+02 6.53333e-01 3.57628e+02 3.39600e+01 3.57628e+02 1.73889e+00
3.58416e+02 1.35633e+02 3.58416e+02 6.51111e-01 3.58416e+02 4.45233e+01 3.58416e+02 1.73667e+00
3.59205e+02 1.79304e+02 3.59205e+02 6.46667e-01 3.59205e+02 5.85556e+01 3.59205e+02 1.73667e+00
3.59993e+02 2.33557e+02 3.59993e+02 6.43333e-01 3.59993e+02 7.52378e+01 3.59993e+02 1.73667e+00
3.60781e+02 2.97419e+02 3.60781e+02 6.43333e-01 3.60781e+02 9.41511e+01 3.60781e+02 1.73889e+00
